fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-01,Enero,2022,Línea 1,Prepago,24975
2022-01-01,Enero,2022,Línea 1,Gratuidad,2175
2022-01-01,Enero,2022,Línea 2,Prepago,42050
2022-01-01,Enero,2022,Línea 2,Gratuidad,3920
2022-01-02,Enero,2022,Línea 1,Prepago,31814
2022-01-02,Enero,2022,Línea 1,Gratuidad,2597
2022-01-02,Enero,2022,Línea 2,Prepago,47771
2022-01-02,Enero,2022,Línea 2,Gratuidad,5177
2022-01-03,Enero,2022,Línea 1,Prepago,36631
2022-01-03,Enero,2022,Línea 1,Gratuidad,3853
2022-01-03,Enero,2022,Línea 2,Prepago,56983
2022-01-03,Enero,2022,Línea 2,Gratuidad,6534
2022-01-04,Enero,2022,Línea 1,Prepago,38193
2022-01-04,Enero,2022,Línea 1,Gratuidad,3153
2022-01-04,Enero,2022,Línea 2,Prepago,59228
2022-01-04,Enero,2022,Línea 2,Gratuidad,7625
2022-01-05,Enero,2022,Línea 1,Prepago,44323
2022-01-05,Enero,2022,Línea 1,Gratuidad,4056
2022-01-05,Enero,2022,Línea 2,Prepago,62443
2022-01-05,Enero,2022,Línea 2,Gratuidad,6797
2022-01-06,Enero,2022,Línea 1,Prepago,31870
2022-01-06,Enero,2022,Línea 1,Gratuidad,3598
2022-01-06,Enero,2022,Línea 2,Prepago,52683
2022-01-06,Enero,2022,Línea 2,Gratuidad,7062
2022-01-07,Enero,2022,Línea 1,Prepago,35407
2022-01-07,Enero,2022,Línea 1,Gratuidad,3561
2022-01-07,Enero,2022,Línea 2,Prepago,56212
2022-01-07,Enero,2022,Línea 2,Gratuidad,6367
2022-01-08,Enero,2022,Línea 1,Prepago,34392
2022-01-08,Enero,2022,Línea 1,Gratuidad,3145
2022-01-08,Enero,2022,Línea 2,Prepago,56203
2022-01-08,Enero,2022,Línea 2,Gratuidad,6335
2022-01-09,Enero,2022,Línea 1,Prepago,26491
2022-01-09,Enero,2022,Línea 1,Gratuidad,2408
2022-01-09,Enero,2022,Línea 2,Prepago,42021
2022-01-09,Enero,2022,Línea 2,Gratuidad,4802
2022-01-10,Enero,2022,Línea 1,Prepago,33806
2022-01-10,Enero,2022,Línea 1,Gratuidad,3456
2022-01-10,Enero,2022,Línea 2,Prepago,54460
2022-01-10,Enero,2022,Línea 2,Gratuidad,7567
2022-01-11,Enero,2022,Línea 1,Prepago,34172
2022-01-11,Enero,2022,Línea 1,Gratuidad,3458
2022-01-11,Enero,2022,Línea 2,Prepago,53186
2022-01-11,Enero,2022,Línea 2,Gratuidad,6831
2022-01-12,Enero,2022,Línea 1,Prepago,33725
2022-01-12,Enero,2022,Línea 1,Gratuidad,3711
2022-01-12,Enero,2022,Línea 2,Prepago,53612
2022-01-12,Enero,2022,Línea 2,Gratuidad,7562
2022-01-13,Enero,2022,Línea 1,Prepago,33689
