fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-01,Enero,2022,Línea 1,Boleto,16826
2022-01-01,Enero,2022,Línea 1,Prepago,5062
2022-01-01,Enero,2022,Línea 1,Gratuidad,9111
2022-01-01,Enero,2022,Línea 1 Nochebús,Boleto,131
2022-01-01,Enero,2022,Línea 1 Nochebús,Prepago,37
2022-01-01,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-01,Enero,2022,Línea 2,Boleto,3042
2022-01-01,Enero,2022,Línea 2,Prepago,1069
2022-01-01,Enero,2022,Línea 2,Gratuidad,1958
2022-01-01,Enero,2022,Línea 3,Boleto,1851
2022-01-01,Enero,2022,Línea 3,Prepago,754
2022-01-01,Enero,2022,Línea 3,Gratuidad,1348
2022-01-01,Enero,2022,Línea 4,Boleto,2670
2022-01-01,Enero,2022,Línea 4,Prepago,0
2022-01-01,Enero,2022,Línea 4,Gratuidad,937
2022-01-01,Enero,2022,Línea 5,Boleto,2758
2022-01-01,Enero,2022,Línea 5,Prepago,0
2022-01-01,Enero,2022,Línea 5,Gratuidad,999
2022-01-01,Enero,2022,Línea 6,Boleto,2862
2022-01-01,Enero,2022,Línea 6,Prepago,0
2022-01-01,Enero,2022,Línea 6,Gratuidad,909
2022-01-01,Enero,2022,Línea 7,Boleto,9776
2022-01-01,Enero,2022,Línea 7,Prepago,940
2022-01-01,Enero,2022,Línea 7,Gratuidad,2867
2022-01-01,Enero,2022,Línea 8,Boleto,0
2022-01-01,Enero,2022,Línea 8,Prepago,0
2022-01-01,Enero,2022,Línea 8,Gratuidad,0
2022-01-01,Enero,2022,Línea 9,Boleto,1929
2022-01-01,Enero,2022,Línea 9,Prepago,617
2022-01-01,Enero,2022,Línea 9,Gratuidad,1478
2022-01-01,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-01,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-01,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-02,Enero,2022,Línea 1,Boleto,28771
2022-01-02,Enero,2022,Línea 1,Prepago,8826
2022-01-02,Enero,2022,Línea 1,Gratuidad,15649
2022-01-02,Enero,2022,Línea 1 Nochebús,Boleto,441
2022-01-02,Enero,2022,Línea 1 Nochebús,Prepago,144
2022-01-02,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-02,Enero,2022,Línea 2,Boleto,5668
2022-01-02,Enero,2022,Línea 2,Prepago,1637
2022-01-02,Enero,2022,Línea 2,Gratuidad,3479
2022-01-02,Enero,2022,Línea 3,Boleto,6053
2022-01-02,Enero,2022,Línea 3,Prepago,1889
2022-01-02,Enero,2022,Línea 3,Gratuidad,4109
2022-01-02,Enero,2022,Línea 4,Boleto,6919
2022-01-02,Enero,2022,Línea 4,Prepago,0
2022-01-02,Enero,2022,Línea 4,Gratuidad,2427
2022-01-02,Enero,2022,Línea 5,Boleto,3232
2022-01-02,Enero,2022,Línea 5,Prepago,0
2022-01-02,Enero,2022,Línea 5,Gratuidad,1170
2022-01-02,Enero,2022,Línea 6,Boleto,2532
2022-01-02,Enero,2022,Línea 6,Prepago,0
2022-01-02,Enero,2022,Línea 6,Gratuidad,804
2022-01-02,Enero,2022,Línea 7,Boleto,13083
2022-01-02,Enero,2022,Línea 7,Prepago,1049
2022-01-02,Enero,2022,Línea 7,Gratuidad,3782
2022-01-02,Enero,2022,Línea 8,Boleto,0
2022-01-02,Enero,2022,Línea 8,Prepago,0
